review_id,source,rating,review
1,google_play,1,"The app crashes every time I tap checkout after adding my card. I tried restarting and it still fails."
2,google_play,2,"Login keeps sending me back to the welcome screen. I cannot finish setting up my profile."
3,app_store,5,"The new dashboard is clean and the spending summary loads quickly. Much better than the old version."
4,google_play,3,"Notifications are too frequent and I cannot find a simple way to turn off promotional alerts."
5,app_store,2,"Search results take a long time to load on mobile data. It feels slower after the latest update."
6,google_play,4,"I like the app, but onboarding has too many permission prompts before I understand the value."
7,app_store,1,"Payment failed twice but the app did not explain what went wrong. I almost deleted it."
8,google_play,3,"Please add export options for reports. I want to share weekly summaries with my team."
9,app_store,5,"Customer support replied quickly and helped me recover my account."
10,google_play,2,"The app freezes when switching between tabs. It happens mostly after opening push notifications."
11,app_store,4,"Great design and easy navigation, but dark mode would make it better for night use."
12,google_play,1,"I lost my cart after the app crashed during checkout. This is a serious issue."
13,google_play,3,"The home screen is useful, but the first-time setup instructions are confusing."
14,app_store,2,"Push reminders are helpful, but I need more control over frequency and categories."
15,google_play,5,"Fast, simple, and reliable for checking daily updates."
16,app_store,2,"The app asks for location permission without explaining why it is needed."
17,google_play,4,"I would love saved filters so I do not repeat the same setup every morning."
18,app_store,1,"Checkout crashed again after the latest update. This blocks the main reason I use the app."
19,google_play,3,"Some screens load instantly, but search and reports are inconsistent."
20,app_store,4,"The product is useful, but onboarding should show examples before asking for account details."
